party2,afd,cdu,fdp,gruene,linke,spd
afd,0.0,0.4473684210526316,0.5526315789473685,0.8947368421052632,0.8947368421052632,0.631578947368421
cdu,0.4473684210526316,0.0,0.5,0.8157894736842105,0.8421052631578947,0.6052631578947368
fdp,0.5526315789473685,0.5,0.0,0.6842105263157895,0.7105263157894737,0.6052631578947368
gruene,0.8947368421052632,0.8157894736842105,0.6842105263157895,0.0,0.18421052631578946,0.3157894736842105
linke,0.8947368421052632,0.8421052631578947,0.7105263157894737,0.18421052631578946,0.0,0.2894736842105263
spd,0.631578947368421,0.6052631578947368,0.6052631578947368,0.3157894736842105,0.2894736842105263,0.0
